ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e139_s217118.safetensors,139,217118,30.859078,32.457105,3.732578,2.994563,2.891745,3.795871,0.00008463
ckpt_e140_s218680.safetensors,140,218680,30.265435,32.408684,3.733089,2.997313,2.884656,3.797853,0.00008442
ckpt_e141_s220242.safetensors,141,220242,30.503358,32.341132,3.723385,2.985021,2.886995,3.786306,0.00008421
ckpt_e142_s221804.safetensors,142,221804,30.252053,32.445901,3.731695,2.993239,2.893090,3.796182,0.00008400
ckpt_e143_s223366.safetensors,143,223366,30.819486,32.473156,3.731639,2.993460,2.894055,3.797554,0.00008379
ckpt_e144_s224928.safetensors,144,224928,30.756726,32.659890,3.757713,3.021038,2.890242,3.827717,0.00008358
ckpt_e145_s226490.safetensors,145,226490,33.000934,32.476630,3.743341,3.005053,2.880685,3.804749,0.00008336
ckpt_e146_s228052.safetensors,146,228052,33.066087,32.511558,3.740992,2.999465,2.889084,3.803482,0.00008315
ckpt_e147_s229614.safetensors,147,229614,32.979900,32.448096,3.742588,3.007416,2.878818,3.803000,0.00008293
ckpt_e148_s231176.safetensors,148,231176,32.998268,32.557748,3.746634,3.010347,2.886899,3.815728,0.00008272
ckpt_e149_s232738.safetensors,149,232738,33.084687,32.359171,3.738160,3.006843,2.871036,3.796571,0.00008250
ckpt_e150_s234300.safetensors,150,234300,32.928674,32.521199,3.754008,3.019506,2.874177,3.812446,0.00008228
ckpt_e151_s235862.safetensors,151,235862,33.259655,32.264660,3.713189,2.975014,2.888700,3.773302,0.00008206
ckpt_e152_s237424.safetensors,152,237424,32.864765,32.231837,3.717853,2.981899,2.878853,3.781452,0.00008184
ckpt_e153_s238986.safetensors,153,238986,33.363904,32.277239,3.721344,2.984515,2.879240,3.780170,0.00008162
ckpt_e154_s240548.safetensors,154,240548,33.258533,32.644007,3.772896,3.040839,2.871190,3.836875,0.00008139
ckpt_e155_s242110.safetensors,155,242110,33.097199,32.332389,3.732982,2.999323,2.874670,3.794917,0.00008117
ckpt_e156_s243672.safetensors,156,243672,32.627478,32.198280,3.714049,2.977488,2.879533,3.775803,0.00008094
ckpt_e157_s245234.safetensors,157,245234,32.921174,32.553794,3.759073,3.024479,2.873813,3.818662,0.00008072
ckpt_e158_s246796.safetensors,158,246796,33.063217,32.378049,3.736534,3.002906,2.876345,3.796318,0.00008049
ckpt_e159_s248358.safetensors,159,248358,32.864609,32.200699,3.718010,2.982536,2.875854,3.773843,0.00008026
ckpt_e160_s249920.safetensors,160,249920,32.783327,32.258934,3.721935,2.986427,2.877767,3.784236,0.00008003
