ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e118_s184316.safetensors,118,184316,24.323501,25.646050,2.742714,1.928417,2.932058,2.240127,0.00008873
ckpt_e119_s185878.safetensors,119,185878,24.619710,25.789236,2.763163,1.952327,2.934033,2.277148,0.00008855
ckpt_e120_s187440.safetensors,120,187440,24.759846,25.692824,2.751690,1.941334,2.926702,2.247398,0.00008837
ckpt_e121_s189002.safetensors,121,189002,26.528252,25.814770,2.802410,1.999755,2.903597,2.317634,0.00008818
ckpt_e122_s190564.safetensors,122,190564,26.529718,25.480644,2.736662,1.929412,2.914179,2.234097,0.00008799
ckpt_e123_s192126.safetensors,123,192126,26.379937,25.467404,2.734946,1.931378,2.912414,2.227928,0.00008780
ckpt_e124_s193688.safetensors,124,193688,26.618937,25.471925,2.737361,1.936176,2.909992,2.235810,0.00008762
ckpt_e125_s195250.safetensors,125,195250,26.439677,25.654621,2.779661,1.975937,2.910141,2.279690,0.00008742
ckpt_e126_s196812.safetensors,126,196812,26.461594,25.539414,2.758192,1.956306,2.908252,2.255320,0.00008723
ckpt_e127_s198374.safetensors,127,198374,26.588487,25.273805,2.716624,1.915683,2.900495,2.202252,0.00008704
ckpt_e128_s199936.safetensors,128,199936,26.329301,25.432949,2.735528,1.929818,2.909760,2.234303,0.00008685
ckpt_e129_s201498.safetensors,129,201498,26.673977,25.426997,2.752659,1.954447,2.897242,2.252153,0.00008665
ckpt_e130_s203060.safetensors,130,203060,26.462295,25.442684,2.751414,1.952116,2.894881,2.242107,0.00008645
ckpt_e131_s204622.safetensors,131,204622,26.481448,25.480460,2.740138,1.936724,2.910123,2.236391,0.00008625
ckpt_e132_s206184.safetensors,132,206184,26.052880,25.256503,2.732240,1.933643,2.888069,2.227535,0.00008606
ckpt_e133_s207746.safetensors,133,207746,26.352080,25.295684,2.725707,1.924494,2.899397,2.214967,0.00008586
ckpt_e134_s209308.safetensors,134,209308,26.332418,25.253451,2.726187,1.928275,2.891464,2.213737,0.00008565
ckpt_e135_s210870.safetensors,135,210870,26.236028,25.192384,2.720482,1.925645,2.885359,2.207499,0.00008545
ckpt_e136_s212432.safetensors,136,212432,26.133202,25.268892,2.719401,1.918135,2.897944,2.206389,0.00008525
ckpt_e137_s213994.safetensors,137,213994,23.998104,25.150689,2.723179,1.931072,2.881569,2.207487,0.00008504
ckpt_e138_s215556.safetensors,138,215556,24.128482,25.324069,2.751550,1.962138,2.883603,2.243705,0.00008484
ckpt_e139_s217118.safetensors,139,217118,24.059676,25.096927,2.713020,1.917183,2.881521,2.199890,0.00008463
ckpt_e140_s218680.safetensors,140,218680,23.840397,25.092600,2.728206,1.940577,2.868798,2.214981,0.00008442
ckpt_e141_s220242.safetensors,141,220242,23.898062,25.180535,2.738741,1.947526,2.874087,2.229358,0.00008421
ckpt_e142_s221804.safetensors,142,221804,23.660848,25.251797,2.739816,1.942314,2.880593,2.225720,0.00008400
ckpt_e143_s223366.safetensors,143,223366,24.147903,25.224232,2.733397,1.936925,2.879252,2.215781,0.00008379
ckpt_e144_s224928.safetensors,144,224928,24.240516,25.128418,2.720256,1.921260,2.879125,2.212648,0.00008358
ckpt_e145_s226490.safetensors,145,226490,25.903804,25.463008,2.773707,1.978250,2.879273,2.275247,0.00008336
ckpt_e146_s228052.safetensors,146,228052,26.114047,25.096393,2.724702,1.931379,2.870940,2.218673,0.00008315
ckpt_e147_s229614.safetensors,147,229614,25.745483,25.107889,2.726699,1.937397,2.869716,2.210130,0.00008293
ckpt_e148_s231176.safetensors,148,231176,26.083537,25.028173,2.724207,1.932685,2.864334,2.212668,0.00008272
ckpt_e149_s232738.safetensors,149,232738,26.010466,25.014162,2.709432,1.913650,2.876411,2.183094,0.00008250
ckpt_e150_s234300.safetensors,150,234300,26.134040,25.290686,2.728860,1.932029,2.877900,2.200836,0.00008228
ckpt_e151_s235862.safetensors,151,235862,25.990477,24.967292,2.722042,1.936936,2.856639,2.212101,0.00008206
ckpt_e152_s237424.safetensors,152,237424,25.760511,25.106572,2.720796,1.925520,2.876309,2.201296,0.00008184
ckpt_e153_s238986.safetensors,153,238986,26.146643,24.947890,2.710366,1.920861,2.864960,2.192016,0.00008162
ckpt_e154_s240548.safetensors,154,240548,25.832854,24.823233,2.717500,1.936633,2.843186,2.194380,0.00008139
ckpt_e155_s242110.safetensors,155,242110,26.036035,24.939704,2.715340,1.926754,2.857618,2.190535,0.00008117
ckpt_e156_s243672.safetensors,156,243672,25.610819,25.008976,2.725586,1.933071,2.862937,2.214751,0.00008094
ckpt_e157_s245234.safetensors,157,245234,25.764195,25.022287,2.742585,1.957195,2.846628,2.231316,0.00008072
ckpt_e158_s246796.safetensors,158,246796,25.754272,24.833516,2.723966,1.950595,2.836289,2.214064,0.00008049
