ckpt_name,epoch,step,loss_test,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e167_s65130.safetensors,167,65130,29.309388,33.248087,3.119299,1.964177,3.484890,2.831542,0.00007851
ckpt_e168_s65520.safetensors,168,65520,29.833234,32.905031,3.057948,1.903084,3.491137,2.757198,0.00007828
ckpt_e169_s65910.safetensors,169,65910,33.420641,32.883543,3.060313,1.908766,3.489694,2.763980,0.00007804
ckpt_e170_s66300.safetensors,170,66300,32.689535,32.914026,3.063559,1.911716,3.491066,2.765128,0.00007780
ckpt_e171_s66690.safetensors,171,66690,33.294675,33.000990,3.090892,1.945161,3.481662,2.800944,0.00007757
ckpt_e172_s67080.safetensors,172,67080,32.278323,33.032096,3.087273,1.940683,3.483545,2.798804,0.00007733
ckpt_e173_s67470.safetensors,173,67470,32.263551,33.008083,3.088537,1.940041,3.486772,2.803617,0.00007709
ckpt_e174_s67860.safetensors,174,67860,33.476971,32.868350,3.062803,1.914659,3.485187,2.767420,0.00007685
ckpt_e175_s68250.safetensors,175,68250,32.433050,32.765874,3.048843,1.897953,3.485828,2.743110,0.00007661
ckpt_e176_s68640.safetensors,176,68640,32.701149,32.740744,3.048962,1.901836,3.482001,2.748006,0.00007636
ckpt_e177_s69030.safetensors,177,69030,32.609656,32.731574,3.048048,1.902074,3.482906,2.745418,0.00007612
ckpt_e178_s69420.safetensors,178,69420,32.895533,32.994539,3.115791,1.976405,3.465296,2.834650,0.00007588
ckpt_e179_s69810.safetensors,179,69810,32.927657,32.778228,3.063183,1.916162,3.477778,2.766892,0.00007563
ckpt_e180_s70200.safetensors,180,70200,32.685054,32.814716,3.051606,1.902422,3.487613,2.748777,0.00007539
ckpt_e181_s70590.safetensors,181,70590,33.623119,32.909591,3.087001,1.941961,3.474594,2.798151,0.00007514
ckpt_e182_s70980.safetensors,182,70980,33.127069,32.858150,3.075791,1.928115,3.480878,2.774596,0.00007489
ckpt_e183_s71370.safetensors,183,71370,33.095116,32.850878,3.067819,1.921263,3.482905,2.772223,0.00007465
ckpt_e184_s71760.safetensors,184,71760,32.467862,32.747994,3.069094,1.926532,3.471581,2.771577,0.00007440
ckpt_e185_s72150.safetensors,185,72150,29.481383,32.881244,3.058369,1.910960,3.489032,2.758890,0.00007415
ckpt_e186_s72540.safetensors,186,72540,30.348202,32.831831,3.069241,1.926904,3.478724,2.778072,0.00007390
ckpt_e187_s72930.safetensors,187,72930,29.896391,32.745322,3.062986,1.919373,3.477423,2.766901,0.00007365
ckpt_e188_s73320.safetensors,188,73320,29.692913,32.670908,3.047753,1.901204,3.478918,2.741477,0.00007340
ckpt_e189_s73710.safetensors,189,73710,30.269606,32.760838,3.068024,1.922199,3.474950,2.768314,0.00007315
ckpt_e190_s74100.safetensors,190,74100,29.457505,33.048133,3.137334,2.008384,3.451936,2.874880,0.00007289
ckpt_e191_s74490.safetensors,191,74490,29.500675,32.796016,3.070091,1.924690,3.474478,2.780673,0.00007264
ckpt_e192_s74880.safetensors,192,74880,29.571409,32.663406,3.047373,1.902441,3.476823,2.742175,0.00007239
ckpt_e193_s75270.safetensors,193,75270,33.291097,32.778334,3.071219,1.928317,3.470937,2.773177,0.00007213
ckpt_e194_s75660.safetensors,194,75660,33.322809,32.744501,3.071158,1.925845,3.468485,2.773382,0.00007188
ckpt_e195_s76050.safetensors,195,76050,33.056995,33.163516,3.119172,1.953971,3.475614,2.834513,0.00007162
ckpt_e196_s76440.safetensors,196,76440,32.273357,32.740661,3.077211,1.930979,3.468797,2.780075,0.00007137
ckpt_e197_s76830.safetensors,197,76830,32.266353,32.685956,3.052534,1.905893,3.477578,2.753864,0.00007111
ckpt_e198_s77220.safetensors,198,77220,32.604754,32.587390,3.048877,1.907923,3.469200,2.744444,0.00007085
ckpt_e199_s77610.safetensors,199,77610,32.900975,32.608886,3.049223,1.904965,3.471314,2.743151,0.00007059
ckpt_e200_s78000.safetensors,200,78000,32.542828,32.572666,3.053913,1.914120,3.463296,2.756938,0.00007033
ckpt_e201_s78390.safetensors,201,78390,33.026543,32.636711,3.068956,1.935360,3.460424,2.772486,0.00007007
ckpt_e202_s78780.safetensors,202,78780,32.381095,32.542458,3.053213,1.914446,3.461517,2.755501,0.00006981
ckpt_e203_s79170.safetensors,203,79170,32.896722,32.509661,3.047777,1.906133,3.462979,2.745121,0.00006955
ckpt_e204_s79560.safetensors,204,79560,32.436989,32.414389,3.041383,1.901630,3.455515,2.737670,0.00006929
ckpt_e205_s79950.safetensors,205,79950,32.855928,32.572688,3.053366,1.915561,3.465327,2.750791,0.00006903
ckpt_e206_s80340.safetensors,206,80340,33.341287,32.365129,3.037796,1.903350,3.454550,2.726934,0.00006877
ckpt_e207_s80730.safetensors,207,80730,32.052440,32.374802,3.040236,1.906930,3.453813,2.731035,0.00006851
ckpt_e208_s81120.safetensors,208,81120,32.389665,32.391012,3.052876,1.918561,3.448494,2.751943,0.00006824
ckpt_e209_s81510.safetensors,209,81510,29.785977,32.333432,3.039167,1.905733,3.449618,2.732818,0.00006798
ckpt_e210_s81900.safetensors,210,81900,29.815849,32.471829,3.056789,1.921007,3.453542,2.757871,0.00006772
ckpt_e211_s82290.safetensors,211,82290,29.553459,32.504251,3.044191,1.902489,3.464908,2.739940,0.00006745
ckpt_e212_s82680.safetensors,212,82680,29.140091,32.523254,3.053976,1.914843,3.458784,2.754294,0.00006719
ckpt_e213_s83070.safetensors,213,83070,29.215375,32.464307,3.040423,1.899961,3.462483,2.730421,0.00006692
ckpt_e214_s83460.safetensors,214,83460,29.023881,32.463277,3.043942,1.905101,3.460986,2.736174,0.00006665
ckpt_e215_s83850.safetensors,215,83850,29.352583,32.447574,3.052088,1.917699,3.454343,2.751991,0.00006639
ckpt_e216_s84240.safetensors,216,84240,29.450175,32.490126,3.054106,1.917532,3.454870,2.752244,0.00006612
ckpt_e217_s84630.safetensors,217,84630,32.774233,32.526258,3.062999,1.922683,3.453497,2.760577,0.00006585
ckpt_e218_s85020.safetensors,218,85020,32.738273,32.336481,3.037894,1.904512,3.451347,2.734473,0.00006559
ckpt_e219_s85410.safetensors,219,85410,32.099979,32.317806,3.047137,1.917011,3.446585,2.740168,0.00006532
ckpt_e220_s85800.safetensors,220,85800,32.195974,32.301628,3.051875,1.924997,3.440664,2.744143,0.00006505
ckpt_e221_s86190.safetensors,221,86190,32.687308,32.260636,3.043358,1.910884,3.442995,2.730833,0.00006478
ckpt_e222_s86580.safetensors,222,86580,32.784428,32.282768,3.057918,1.929050,3.432307,2.755764,0.00006451
ckpt_e223_s86970.safetensors,223,86970,32.674223,32.352510,3.051523,1.911427,3.446598,2.737524,0.00006424
