ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e5_s157000.safetensors,5,157000,13.018643,2.347400,1.057997,3.765454,0.00009324
ckpt_e5_s158000.safetensors,5,158000,13.034608,2.343706,1.066645,3.760712,0.00009316
ckpt_e5_s159000.safetensors,5,159000,13.028510,2.368194,1.076420,3.764829,0.00009307
ckpt_e5_s160000.safetensors,5,160000,13.019936,2.353657,1.070444,3.746617,0.00009299
ckpt_e5_s161000.safetensors,5,161000,13.018715,2.333099,1.055742,3.753655,0.00009290
ckpt_e5_s162000.safetensors,5,162000,13.011952,2.379404,1.089219,3.747106,0.00009282
ckpt_e5_s163000.safetensors,5,163000,13.008340,2.322766,1.052120,3.743554,0.00009273
ckpt_e5_s164000.safetensors,5,164000,13.011417,2.398579,1.111053,3.735336,0.00009264
ckpt_e5_s165000.safetensors,5,165000,13.004601,2.333098,1.062705,3.738223,0.00009256
ckpt_e5_s166000.safetensors,5,166000,12.993313,2.331408,1.063182,3.741136,0.00009247
ckpt_e5_s167000.safetensors,5,167000,12.997729,2.393809,1.121645,3.734688,0.00009238
ckpt_e5_s168000.safetensors,5,168000,12.988218,2.361100,1.084869,3.747475,0.00009229
ckpt_e5_s169000.safetensors,5,169000,12.985184,2.375156,1.101731,3.736412,0.00009220
ckpt_e5_s170000.safetensors,5,170000,12.982175,2.349759,1.081712,3.736974,0.00009211
ckpt_e5_s171000.safetensors,5,171000,12.982754,2.349952,1.072328,3.748442,0.00009202
ckpt_e5_s172000.safetensors,5,172000,12.976207,2.348577,1.066563,3.749255,0.00009193
ckpt_e5_s173000.safetensors,5,173000,12.980253,2.366343,1.077642,3.751716,0.00009184
ckpt_e5_s174000.safetensors,5,174000,12.974202,2.343680,1.076994,3.738953,0.00009175
ckpt_e5_s175000.safetensors,5,175000,12.964779,2.347534,1.062528,3.743967,0.00009165
ckpt_e5_s176000.safetensors,5,176000,12.966226,2.329665,1.053113,3.747382,0.00009156
ckpt_e5_s177000.safetensors,5,177000,12.956899,2.339669,1.049664,3.757623,0.00009147
ckpt_e5_s178000.safetensors,5,178000,12.952233,2.291090,1.018868,3.753712,0.00009138
ckpt_e5_s179000.safetensors,5,179000,12.951698,2.387033,1.108731,3.723552,0.00009128
ckpt_e5_s180000.safetensors,5,180000,12.950627,2.374099,1.103065,3.719704,0.00009119
ckpt_e5_s181000.safetensors,5,181000,12.948311,2.340761,1.062547,3.737184,0.00009109
ckpt_e5_s182000.safetensors,5,182000,12.939113,2.339226,1.062121,3.741288,0.00009100
ckpt_e5_s183000.safetensors,5,183000,12.937493,2.341266,1.061979,3.730876,0.00009090
ckpt_e5_s184000.safetensors,5,184000,12.933909,2.305681,1.021103,3.751694,0.00009081
ckpt_e5_s185000.safetensors,5,185000,12.928768,2.315638,1.017197,3.748333,0.00009071
ckpt_e6_s186000.safetensors,6,186000,13.227465,2.290218,1.014600,3.740063,0.00009061
ckpt_e6_s187000.safetensors,6,187000,13.145489,2.288440,1.006244,3.749572,0.00009051
ckpt_e6_s188000.safetensors,6,188000,13.092314,2.284240,1.007659,3.737694,0.00009042
ckpt_e6_s189000.safetensors,6,189000,13.175304,2.291566,1.007752,3.738724,0.00009032
ckpt_e6_s190000.safetensors,6,190000,13.159638,2.319788,1.032637,3.736650,0.00009022
ckpt_e6_s191000.safetensors,6,191000,13.145636,2.313601,1.023976,3.727662,0.00009012
ckpt_e6_s192000.safetensors,6,192000,13.137448,2.233296,0.952710,3.741209,0.00009002
ckpt_e6_s193000.safetensors,6,193000,13.139286,2.244852,0.966179,3.743290,0.00008992
ckpt_e6_s194000.safetensors,6,194000,13.125409,2.344876,1.043098,3.717465,0.00008982
ckpt_e6_s195000.safetensors,6,195000,13.127520,2.298176,0.993520,3.737094,0.00008972
ckpt_e6_s196000.safetensors,6,196000,13.103123,2.230250,0.941411,3.737553,0.00008962
ckpt_e6_s197000.safetensors,6,197000,13.121209,2.276819,0.984970,3.736581,0.00008951
ckpt_e6_s198000.safetensors,6,198000,13.091829,2.215060,0.917876,3.756029,0.00008941
ckpt_e6_s199000.safetensors,6,199000,13.102115,2.242853,0.951083,3.729325,0.00008931
ckpt_e6_s200000.safetensors,6,200000,13.100404,2.212509,0.918092,3.741069,0.00008921
ckpt_e6_s201000.safetensors,6,201000,13.098485,2.213157,0.912241,3.743253,0.00008910
ckpt_e6_s202000.safetensors,6,202000,13.095844,2.231901,0.926639,3.735156,0.00008900
ckpt_e6_s203000.safetensors,6,203000,13.082331,2.183179,0.881136,3.746561,0.00008889
ckpt_e6_s204000.safetensors,6,204000,13.075073,2.164541,0.863284,3.751064,0.00008879
ckpt_e6_s205000.safetensors,6,205000,13.075210,2.331573,1.050749,3.690363,0.00008868
ckpt_e6_s206000.safetensors,6,206000,13.068053,2.220561,0.907396,3.749917,0.00008858
ckpt_e6_s207000.safetensors,6,207000,13.062830,2.181798,0.851694,3.762594,0.00008847
ckpt_e6_s208000.safetensors,6,208000,13.059892,2.211878,0.890169,3.759273,0.00008836
ckpt_e6_s209000.safetensors,6,209000,13.052834,2.229747,0.902653,3.747318,0.00008826
ckpt_e6_s210000.safetensors,6,210000,13.047330,2.137619,0.824116,3.759969,0.00008815
ckpt_e6_s211000.safetensors,6,211000,13.041846,2.184988,0.856108,3.757428,0.00008804
ckpt_e6_s212000.safetensors,6,212000,13.036066,2.198949,0.865126,3.754854,0.00008793
ckpt_e6_s213000.safetensors,6,213000,13.033392,2.153894,0.836507,3.749210,0.00008782
ckpt_e6_s214000.safetensors,6,214000,13.029952,2.170679,0.863470,3.739066,0.00008772
ckpt_e6_s215000.safetensors,6,215000,13.024976,2.175265,0.839517,3.763303,0.00008761
ckpt_e6_s216000.safetensors,6,216000,13.027951,2.122561,0.808008,3.769149,0.00008750
ckpt_e6_s217000.safetensors,6,217000,13.014735,2.158811,0.820680,3.762032,0.00008739
ckpt_e6_s218000.safetensors,6,218000,13.011028,2.179885,0.879010,3.742598,0.00008728
ckpt_e6_s219000.safetensors,6,219000,12.996317,2.137502,0.822426,3.748354,0.00008716
ckpt_e6_s220000.safetensors,6,220000,13.000443,2.127085,0.806312,3.754829,0.00008705
ckpt_e6_s221000.safetensors,6,221000,13.002520,2.136473,0.818444,3.757274,0.00008694
ckpt_e6_s222000.safetensors,6,222000,12.995327,2.162975,0.839553,3.733295,0.00008683
ckpt_e7_s223000.safetensors,7,223000,12.302206,2.130002,0.789063,3.771607,0.00008672
ckpt_e7_s224000.safetensors,7,224000,12.445022,2.163072,0.813491,3.769155,0.00008660
ckpt_e7_s225000.safetensors,7,225000,12.376020,2.049687,0.734869,3.762835,0.00008649
ckpt_e7_s226000.safetensors,7,226000,12.439977,2.115275,0.789204,3.756313,0.00008637
ckpt_e7_s227000.safetensors,7,227000,12.429320,2.046659,0.710143,3.767658,0.00008626
ckpt_e7_s228000.safetensors,7,228000,12.418494,2.079923,0.751371,3.760309,0.00008615
ckpt_e7_s229000.safetensors,7,229000,12.444404,2.061611,0.738590,3.760739,0.00008603
ckpt_e7_s230000.safetensors,7,230000,12.430020,2.049460,0.718847,3.758795,0.00008592
ckpt_e7_s231000.safetensors,7,231000,12.423810,2.088036,0.787028,3.734004,0.00008580
ckpt_e7_s232000.safetensors,7,232000,12.429739,2.109770,0.806606,3.738976,0.00008568
ckpt_e7_s233000.safetensors,7,233000,12.432483,2.034284,0.706090,3.760256,0.00008557
ckpt_e7_s234000.safetensors,7,234000,12.410698,1.997506,0.650505,3.774758,0.00008545
ckpt_e7_s235000.safetensors,7,235000,12.399898,2.073629,0.744475,3.751872,0.00008533
ckpt_e7_s236000.safetensors,7,236000,12.410033,2.070784,0.736493,3.758094,0.00008521
ckpt_e7_s237000.safetensors,7,237000,12.404739,2.009093,0.679781,3.761238,0.00008510
ckpt_e7_s238000.safetensors,7,238000,12.397369,2.038882,0.714547,3.753011,0.00008498
ckpt_e7_s239000.safetensors,7,239000,12.396638,2.061925,0.713449,3.750200,0.00008486
ckpt_e7_s240000.safetensors,7,240000,12.391990,1.988171,0.649822,3.765490,0.00008474
ckpt_e7_s241000.safetensors,7,241000,12.377764,2.095402,0.780602,3.733713,0.00008462
ckpt_e7_s242000.safetensors,7,242000,12.372001,1.987193,0.654506,3.764055,0.00008450
ckpt_e7_s243000.safetensors,7,243000,12.365738,2.002537,0.645885,3.750574,0.00008438
ckpt_e7_s244000.safetensors,7,244000,12.369464,2.011724,0.668454,3.748921,0.00008426
ckpt_e7_s245000.safetensors,7,245000,12.368924,2.024239,0.655078,3.768962,0.00008414
ckpt_e7_s246000.safetensors,7,246000,12.363259,1.977824,0.655177,3.753749,0.00008402
ckpt_e7_s247000.safetensors,7,247000,12.353431,2.002060,0.674988,3.743389,0.00008389
ckpt_e7_s248000.safetensors,7,248000,12.357099,1.988328,0.637227,3.765058,0.00008377
ckpt_e7_s249000.safetensors,7,249000,12.352763,1.967379,0.612125,3.777435,0.00008365
ckpt_e7_s250000.safetensors,7,250000,12.351717,1.979082,0.634656,3.760377,0.00008353
ckpt_e7_s251000.safetensors,7,251000,12.346636,2.050540,0.709306,3.743939,0.00008340
ckpt_e7_s252000.safetensors,7,252000,12.341728,1.964854,0.617244,3.760492,0.00008328
ckpt_e7_s253000.safetensors,7,253000,12.339808,2.037507,0.720504,3.721710,0.00008315
ckpt_e7_s254000.safetensors,7,254000,12.339773,1.918110,0.575794,3.759550,0.00008303
ckpt_e7_s255000.safetensors,7,255000,12.336664,1.979470,0.639100,3.743203,0.00008291
ckpt_e7_s256000.safetensors,7,256000,12.330227,2.002720,0.685270,3.744975,0.00008278
ckpt_e7_s257000.safetensors,7,257000,12.319885,1.985300,0.611720,3.774246,0.00008266
ckpt_e7_s258000.safetensors,7,258000,12.319879,1.984590,0.627628,3.763480,0.00008253
ckpt_e7_s259000.safetensors,7,259000,12.317244,1.947601,0.609811,3.753790,0.00008240
ckpt_e8_s260000.safetensors,8,260000,12.339941,1.952168,0.611048,3.751883,0.00008228
ckpt_e8_s261000.safetensors,8,261000,12.328676,1.992714,0.637015,3.755633,0.00008215
ckpt_e8_s262000.safetensors,8,262000,12.357636,1.952210,0.616416,3.745350,0.00008202
ckpt_e8_s263000.safetensors,8,263000,12.385765,2.068200,0.682551,3.752872,0.00008190
ckpt_e8_s264000.safetensors,8,264000,12.360843,1.935339,0.581951,3.762888,0.00008177
ckpt_e8_s265000.safetensors,8,265000,12.356704,1.971722,0.618189,3.744459,0.00008164
