ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e4_s120000.safetensors,4,120000,25.270275,1.951749,0.652338,3.633910,0.00009601
ckpt_e4_s121000.safetensors,4,121000,25.254918,2.059381,0.762321,3.610862,0.00009595
ckpt_e4_s122000.safetensors,4,122000,25.246217,1.969202,0.656943,3.638533,0.00009588
ckpt_e4_s123000.safetensors,4,123000,25.191845,2.008396,0.715605,3.616338,0.00009581
ckpt_e4_s124000.safetensors,4,124000,25.120302,1.858293,0.553039,3.647077,0.00009574
ckpt_e4_s125000.safetensors,4,125000,25.134211,2.008061,0.743192,3.608811,0.00009568
ckpt_e4_s126000.safetensors,4,126000,25.106299,1.942991,0.633817,3.633595,0.00009561
ckpt_e4_s127000.safetensors,4,127000,25.066898,1.897763,0.580552,3.647307,0.00009554
ckpt_e4_s128000.safetensors,4,128000,25.057364,1.922392,0.629242,3.625138,0.00009547
ckpt_e4_s129000.safetensors,4,129000,25.031003,2.042715,0.772052,3.580214,0.00009540
ckpt_e4_s130000.safetensors,4,130000,25.008343,2.010034,0.751704,3.596087,0.00009533
ckpt_e4_s131000.safetensors,4,131000,24.976626,1.918800,0.620132,3.615973,0.00009526
ckpt_e4_s132000.safetensors,4,132000,24.973019,1.880171,0.558401,3.634650,0.00009519
ckpt_e4_s133000.safetensors,4,133000,24.936920,1.878571,0.580670,3.616341,0.00009512
ckpt_e4_s134000.safetensors,4,134000,24.930377,1.868523,0.555182,3.632088,0.00009504
ckpt_e4_s135000.safetensors,4,135000,24.911522,1.902987,0.625259,3.600132,0.00009497
ckpt_e4_s136000.safetensors,4,136000,24.879470,1.855930,0.555677,3.616824,0.00009490
ckpt_e4_s137000.safetensors,4,137000,24.854052,1.885834,0.587805,3.619102,0.00009482
ckpt_e4_s138000.safetensors,4,138000,24.843619,1.845724,0.553983,3.606160,0.00009475
ckpt_e4_s139000.safetensors,4,139000,24.816738,1.812697,0.518942,3.609224,0.00009467
ckpt_e4_s140000.safetensors,4,140000,24.795222,1.859482,0.575460,3.617510,0.00009460
ckpt_e4_s141000.safetensors,4,141000,24.775921,1.918649,0.606152,3.610788,0.00009452
ckpt_e4_s142000.safetensors,4,142000,24.749587,1.825824,0.545872,3.594315,0.00009445
ckpt_e4_s143000.safetensors,4,143000,24.724778,1.956255,0.666498,3.572307,0.00009437
ckpt_e4_s144000.safetensors,4,144000,24.701364,1.958183,0.704869,3.574333,0.00009429
ckpt_e4_s145000.safetensors,4,145000,24.691196,1.942912,0.705052,3.565874,0.00009421
ckpt_e4_s146000.safetensors,4,146000,24.672501,1.856775,0.589953,3.570072,0.00009414
ckpt_e4_s147000.safetensors,4,147000,24.657929,1.798413,0.501296,3.607366,0.00009406
ckpt_e4_s148000.safetensors,4,148000,24.631645,1.907451,0.610109,3.595183,0.00009398
ckpt_e5_s149000.safetensors,5,149000,24.608575,1.836961,0.546052,3.604645,0.00009390
ckpt_e5_s150000.safetensors,5,150000,24.198320,1.825947,0.520688,3.601577,0.00009382
ckpt_e5_s151000.safetensors,5,151000,24.119364,1.947685,0.669048,3.566127,0.00009374
ckpt_e5_s152000.safetensors,5,152000,24.154786,1.796052,0.503751,3.610199,0.00009366
ckpt_e5_s153000.safetensors,5,153000,24.082028,1.901367,0.648925,3.560425,0.00009357
ckpt_e5_s154000.safetensors,5,154000,24.135990,1.929658,0.651598,3.582949,0.00009349
